time,weight,,,,
32.005804,-0.8,,,,
32.117878,-0.8,,,,
32.213874,-0.7,,,,
32.325987,-0.7,,,,
32.421735,-0.7,,,,
32.533652,-0.7,,,,
32.646684,-0.7,,,,
32.742634,-0.6,,,,
32.854552,-0.6,,,,
32.950327,-0.7,,,,
33.062746,-0.7,,,,
33.15896,-0.7,,,,
33.270727,-0.7,,,,
33.367138,-0.7,,,,
33.478004,-0.7,,,,
33.575078,-0.7,,,,
33.687303,-0.7,,,,
33.783287,-0.7,,,,
33.895298,-0.7,,,,
33.990715,-0.6,,,,
34.103522,-0.6,,,,
34.199528,-0.6,,,,
34.311593,-0.6,,,,
34.407633,-0.6,,,,
34.519215,-0.6,,,,
34.615751,-0.6,,,,
34.72783,-0.6,,,,
34.823965,-0.6,,,,
34.935245,-0.6,,,,
35.032238,-0.6,,,,
35.144232,-0.6,,,,
35.240198,-0.6,,,,
35.352361,-0.6,,,,
35.447505,-0.6,,,,
35.559975,-0.6,,,,
35.656518,-0.6,,,,
35.768862,-0.6,,,,
35.880388,-0.6,,,,
35.976617,-0.6,,,,
36.088863,-0.6,,,,
36.184563,-0.6,,,,
36.297022,-0.6,,,,
36.392776,-0.6,,,,
36.504167,-0.6,,,,
36.600994,-0.6,,,,
36.713248,-0.6,,,,
36.808983,-0.6,,,,
36.921382,-0.6,,,,
37.016768,-0.6,,,,
37.129149,-0.6,,,,
37.225546,-0.6,,,,
37.33772,-0.6,,,,
37.433546,-0.6,,,,
37.54567,-0.6,,,,
37.641667,-0.6,,,,
37.754238,-0.6,,,,
37.849187,-0.6,,,,
37.962065,-0.6,,,,
38.05775,-0.6,,,,
38.17018,-0.7,,,,
38.26631,-0.7,,,,
38.378123,-0.7,,,,
38.473764,-0.6,,,,
38.585807,-0.6,,,,
38.682615,-0.6,,,,
38.794477,-0.7,,,,
38.906603,-0.7,,,,
39.002838,-0.7,,,,
39.114548,-0.7,,,,
39.210769,-0.7,,,,
39.322962,-0.7,,,,
39.419071,-0.7,,,,
39.530189,-0.7,,,,
39.626729,-0.7,,,,
39.739185,-0.7,,,,
39.834956,-0.7,,,,
39.931299,-0.7,,,,
40.043052,-0.7,,,,
40.13917,-0.7,,,,
40.251557,-0.7,,,,
40.347606,-0.7,,,,
40.458935,-0.6,,,,
40.555828,-0.6,,,,
40.667834,-0.6,,,,
40.764238,-0.6,,,,
40.875611,-0.6,,,,
40.972059,-0.6,,,,
41.084286,-0.6,,,,
41.180153,-0.6,,,,
41.291947,-0.6,,,,
41.388875,-0.6,,,,
41.500158,-0.6,,,,
41.5965,-0.6,,,,
41.70887,-0.6,,,,
41.820365,-0.6,,,,
41.932599,-0.5,,,,
42.028351,-0.5,,,,
42.14036,-0.6,,,,
42.236975,-0.5,,,,
42.332998,-0.5,,,,
42.444978,-0.5,,,,
42.54081,-0.5,,,,
42.653153,-0.5,,,,
42.749182,-0.5,,,,
42.860765,-0.5,,,,
42.957174,-0.5,,,,
43.068799,-0.5,,,,
43.165509,-0.5,,,,
43.277486,-0.5,,,,
43.373519,-0.5,,,,
43.485879,-0.5,,,,
43.580989,-0.5,,,,
43.694236,-0.5,,,,
43.789686,-0.5,,,,
43.901868,-0.5,,,,
43.997196,-0.5,,,,
44.108899,-0.5,,,,
44.205655,-0.5,,,,
44.317052,-0.5,,,,
44.413974,-0.5,,,,
44.526166,-0.5,,,,
44.622394,-0.3,,,,
44.734549,-0.3,,,,
44.84661,-0.4,,,,
44.941987,-0.4,,,,
45.053921,-0.4,,,,
45.150331,-0.4,,,,
45.262985,-0.4,,,,
45.358867,-0.4,,,,
45.470756,-0.4,,,,
45.567287,-0.4,,,,
45.679093,-0.4,,,,
45.774948,-0.4,,,,
45.887374,-0.4,,,,
45.983281,-0.5,,,,
46.095377,-0.5,,,,
46.191303,-0.5,,,,
46.30335,-0.5,,,,
46.399143,-0.5,,,,
46.511551,-0.5,,,,
46.606644,-0.5,,,,
46.719419,-0.5,,,,
46.832031,-0.5,,,,
46.927902,-0.5,,,,
47.040191,-0.5,,,,
47.135931,-0.4,,,,
47.248254,-0.4,,,,
47.344303,-0.4,,,,
47.456265,-0.4,,,,
47.552455,-0.4,,,,
47.648862,-0.4,,,,
47.760276,-0.4,,,,
47.856597,-0.4,,,,
47.968871,-0.4,,,,
48.08063,-0.4,,,,
48.176601,-0.3,,,,
48.288873,-0.3,,,,
48.384537,-0.4,,,,
48.480999,-0.4,,,,
48.59269,-0.3,,,,
48.689209,-0.3,,,,
48.801069,-0.3,,,,
48.897358,-0.3,,,,
49.009264,-0.3,,,,
49.105511,-0.3,,,,
49.217535,-0.3,,,,
49.313539,-0.3,,,,
49.42544,-0.3,,,,
49.537667,-0.3,,,,
49.633377,-0.3,,,,
49.745677,-0.3,,,,
49.841363,-0.3,,,,
49.954243,-0.4,,,,
50.049197,-0.4,,,,
50.162064,-0.4,,,,
50.257884,-0.4,,,,
50.370197,-0.4,,,,
50.466289,-0.4,,,,
50.57748,-0.4,,,,
50.674179,-0.4,,,,
50.78794,-0.4,,,,
50.884242,-0.4,,,,
50.995186,-0.4,,,,
51.090388,-0.4,,,,
51.202723,-0.3,,,,
51.298895,-0.3,,,,
51.412432,-0.3,,,,
51.507337,-0.3,,,,
51.618927,-0.3,,,,
51.714863,-0.3,,,,
51.827072,-0.3,,,,
51.922722,-0.3,,,,
52.035254,-0.3,,,,
52.130556,-0.3,,,,
52.243386,-0.3,,,,
52.339184,-0.3,,,,
52.451543,-0.3,,,,
52.548869,-0.3,,,,
52.659247,-0.3,,,,
52.755659,-0.3,,,,
52.867858,-0.3,,,,
52.979897,-0.3,,,,
53.075763,-0.3,,,,
53.187861,-0.3,,,,
53.283641,-0.3,,,,
53.397755,-0.2,,,,
53.493694,-0.2,,,,
53.604536,-0.2,,,,
53.700625,-0.2,,,,
53.81242,-0.2,,,,
53.9091,-0.2,,,,
54.020392,-0.2,,,,
54.117121,-0.2,,,,
54.229202,-0.2,,,,
54.324522,-0.2,,,,
54.438348,-0.2,,,,
54.533603,-0.2,,,,
54.644733,-0.2,,,,
54.740876,-0.2,,,,
54.853207,-0.2,,,,
54.949136,-0.2,,,,
55.062787,-0.2,,,,
55.157296,-0.1,,,,
55.269288,-0.2,,,,
55.366128,-0.2,,,,
55.477502,-0.2,,,,
55.57328,-0.2,,,,
55.68727,-0.2,,,,
55.781942,-0.2,,,,
55.894564,-0.2,,,,
55.990102,-0.2,,,,
56.103446,-0.2,,,,
56.198161,-0.2,,,,
56.30982,-0.2,,,,
56.406527,-0.2,,,,
56.519088,-0.2,,,,
56.614546,-0.2,,,,
56.727971,-0.2,,,,
56.822351,-0.2,,,,
56.93451,-0.2,,,,
57.046381,-0.2,,,,
57.144268,-0.2,,,,
57.254467,-0.2,,,,
57.350398,-0.2,,,,
57.464328,-0.2,,,,
57.55909,-0.2,,,,
57.670819,-0.2,,,,
57.767155,-0.2,,,,
57.879092,-0.2,,,,
57.976324,-0.2,,,,
58.088394,-0.2,,,,
58.183263,-0.2,,,,
58.294708,-0.2,,,,
58.391723,-0.2,,,,
58.503256,-0.2,,,,
58.599185,-0.2,,,,
58.711209,-0.2,,,,
58.807473,-0.2,,,,
58.919311,0,,,,
59.032125,0,,,,
59.129182,0,,,,
59.22446,0,,,,
59.337842,0,,,,
59.43217,0,,,,
59.544577,-0.1,,,,
59.640357,-0.1,,,,
59.75344,-0.1,,,,
59.848445,-0.1,,,,
59.96035,-0.1,,,,
60.056356,-0.1,,,,
60.16913,-0.1,,,,
60.264412,-0.1,,,,
60.376777,-0.1,,,,
60.48875,-0.1,,,,
60.584537,-0.1,,,,
60.698439,-0.1,,,,
60.794536,-0.1,,,,
60.904522,-0.1,,,,
61.001646,-0.1,,,,
61.114233,-0.1,,,,
61.20956,-0.1,,,,
61.321372,-0.1,,,,
61.41754,-0.1,,,,
61.529015,-0.1,,,,
61.625213,-0.1,,,,
61.737105,-0.1,,,,
61.832735,-0.1,,,,
61.944983,-0.1,,,,
62.040786,0,,,,
62.137527,0,,,,
62.250165,0,,,,
62.347425,0,,,,
62.474489,0,,,,
62.570297,0,,,,
62.666477,0,,,,
62.779186,0,,,,
62.87386,0,,,,
62.988019,0,,,,
63.082295,0,,,,
63.194465,0,,,,
63.290547,0,,,,
63.40424,0,,,,
63.498742,0,,,,
63.610763,0,,,,
63.722807,0,,,,
63.819273,0,,,,
63.914991,0,,,,
64.028879,0,,,,
64.124481,0,,,,
64.236818,0,,,,
64.347671,0,,,,
64.443409,0,,,,
64.538994,0,,,,
64.651676,0,,,,
64.747817,0,,,,
64.859722,0,,,,
64.955514,0,,,,
65.068753,0,,,,
65.179183,0,,,,
65.277597,0,,,,
65.372109,0,,,,
65.484271,0,,,,
65.580153,0,,,,
65.692348,0,,,,
65.788162,0,,,,
65.900262,0,,,,
66.012507,0,,,,
66.109161,0,,,,
66.220355,0,,,,
66.318175,0,,,,
66.412916,0,,,,
66.52508,0,,,,
66.638314,0,,,,
66.732958,0,,,,
66.844769,0,,,,
66.940749,0,,,,
67.054542,0,,,,
67.149135,0,,,,
67.263071,0,,,,
67.373269,0,,,,
67.46917,0,,,,
67.565535,0,,,,
67.679055,0,,,,
67.77449,0,,,,
67.885559,0,,,,
67.981747,0,,,,
68.094511,0,,,,
68.189843,0,,,,
68.303375,0,,,,
68.398867,0.1,,,,
68.510306,0.1,,,,
68.621757,0.1,,,,
68.718121,0.1,,,,
68.829824,0.1,,,,
68.925908,0.1,,,,
69.037854,0.1,,,,
69.134491,0.1,,,,
69.246567,0.2,,,,
69.342354,0.2,,,,
69.45466,0.2,,,,
69.550406,0.1,,,,
69.662966,0.1,,,,
69.759093,0.1,,,,
69.870657,0.1,,,,
69.967832,0.1,,,,
70.078929,0.1,,,,
70.174454,0,,,,
70.288142,0,,,,
70.38316,0,,,,
70.479261,0,,,,
